Requirement ID,Canonical Area,Canonical Task (operator language),Governance domain (FDH-13 origin),Requirement,Proposed capability,"Canonical role (interim, per REG-16 pending)",Segregation requirement,Audit requirement,Data sensitivity / Privacy classification,Implementation stage (Status),Future Admin wave,Certification evidence,Blocks FDH-13 closure,Product Owner decision
FDH13-AE-007,Administration (Audit),"Audit events are IMMUTABLE (append-only, no update/delete, for any role including the a...",Audit and evidence,"Audit events are IMMUTABLE (append-only, no update/delete, for any role including the actor)",(enforced automatically),"N/A - cross-cutting control, not a standing role grant",None,N/A (this IS the audit-integrity control),internal,PARTIAL,Wave A,RLS policy tests already exist for both source tables; new tests required once the governance extension ships,Yes,"Shares REG-05 (RESOLVED, see MD-011/AE-001): canonical cross-domain audit sink"
FDH13-AE-008,Administration (Audit),Audit events carry a CORRELATION IDENTIFIER linking a multi-step workflow (propose -> r...,Audit and evidence,Audit events carry a CORRELATION IDENTIFIER linking a multi-step workflow (propose -> review -> approve -> promote),(enforced automatically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,MISSING,Wave A/B,New schema-contract test,No,"Shares REG-05 (RESOLVED, see MD-011/AE-001); also relevant to REG-02 (RESOLVED: forward-only correction/supersession) -- rollback linkage needs the same correlation identifier"
FDH13-AE-009,Administration (Audit),Sensitive values are redacted before ever reaching an audit-event metadata payload,Audit and evidence,Sensitive values are redacted before ever reaching an audit-event metadata payload,(enforced automatically),"N/A - cross-cutting control, not a standing role grant",None,This row IS the privacy control,highly sensitive,PARTIAL,Wave A/B,New test required (reusing lib/ai/context/allowlist.ts's pattern),No,None
FDH13-AE-010,Administration (Audit),FDH governance audit events have a defined RETENTION policy,Audit and evidence,FDH governance audit events have a defined RETENTION policy,"(governs export/retention, not a standalone view capability)","Super Admin (interim) - no existing canonical role fits (gap disclosed, not filled)",None,Retention deletion (if ever implemented) is itself an audited event,internal,MISSING,Wave G,New design required,No,REG-14 (retention period for FDH governance audit evidence) -- see Decision Register
FDH13-AE-011,Administration (Audit),FDH governance audit evidence can be EXPORTED for external review,Audit and evidence,FDH governance audit evidence can be EXPORTED for external review,canExportFdhGovernanceData,Super Admin (interim); candidate: Data Governance Approver (pending REG-04),Export of audit evidence should likely require a STRICTER capability than ordinary governance export (REG-04 extension),The export action is itself audited (an export of audit evidence is a second-order audit event),internal (exported audit records may still contain sensitive metadata -- treat as highly sensitive by default),MISSING,Wave G,Standard section 11's own certification requirements,No,REG-04 (extended to cover audit-evidence export specifically)
FDH13-AE-012,Administration (Audit),Audit records carry ROLLBACK LINKAGE (which event undid which),Audit and evidence,Audit records carry ROLLBACK LINKAGE (which event undid which),(enforced automatically once rollback exists),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,MISSING,Wave B,New schema-contract test once REG-02 is resolved,Yes,REG-02 (shared with MD-007/IC-009)
FDH13-AR-001,Analytics,Parser coverage (certified vs. total institutions per country) is reported,Analytics and reporting,Parser coverage (certified vs. total institutions per country) is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A (aggregate reference metric),public/internal (aggregate reference-data counts),MISSING,Wave E,New test required,No,None
FDH13-AR-002,Analytics,Import volume / success rate / failure rate is reported,Analytics and reporting,Import volume / success rate / failure rate is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A (aggregate metric),internal (aggregate; underlying source rows are user-owned),MISSING,Wave E,New test required,No,None
FDH13-AR-003,Analytics,Master-data/candidate APPROVAL RATE is reported,Analytics and reporting,Master-data/candidate APPROVAL RATE is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,"internal (aggregate over admin actions, not user data)",NOT_APPLICABLE,Wave E (strictly after Wave B),New test required once Wave B ships,No,None
FDH13-AR-004,Analytics,Candidate BACKLOG (open + admin_review counts) is reported,Analytics and reporting,Candidate BACKLOG (open + admin_review counts) is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,internal (aggregate),PARTIAL,Wave E,New test required,No,None
FDH13-AR-005,Analytics,Category-confidence trend is reported,Analytics and reporting,Category-confidence trend is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave E,New RPC + test required,No,Shares REG-11 (tension between no-standing-access list and aggregate monitoring need) with PR-005
FDH13-AR-006,Analytics,Institution/country coverage is reported,Analytics and reporting,Institution/country coverage is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,public/internal,MISSING,Wave E,New test required,No,None
FDH13-AR-007,Analytics,Support-access FREQUENCY is reported (how often break-glass/support capability was used),Analytics and reporting,Support-access FREQUENCY is reported (how often break-glass/support capability was used),canViewFdhAnalytics (aggregate) / canAccessFdhSupportData is a DIFFERENT capability from viewing its frequency,Analyst (+ Super Admin),Viewing support-access frequency should be a distinct capability from EXERCISING support access,N/A,internal (aggregate over admin actions),NOT_APPLICABLE,Wave G (strictly after Wave F),New test required once Wave F ships,No,Shares REG-12/REG-13
FDH13-AR-008,Analytics,FDH security events are reported in aggregate,Analytics and reporting,FDH security events are reported in aggregate,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,internal (aggregate) / highly sensitive (detail),NOT_APPLICABLE,Wave E (after OM-009 in Wave D),New test required,No,"Shares REG-07 (RESOLVED, see OM-009): canonical shared security-event structure, domain='fdh'"
FDH13-AR-009,Analytics,Data-quality trend is reported,Analytics and reporting,Data-quality trend is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave E,New RPC + test required,No,None
FDH13-AR-010,Analytics,Release readiness (parser/master-data certification status ahead of a release) is reported,Analytics and reporting,Release readiness (parser/master-data certification status ahead of a release) is reported,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,internal (aggregate reference/process data),MISSING,Wave E,New test required,No,None
FDH13-AR-011,Analytics,All FDH analytics apply the canonical Admin Architecture Standard section 7 privacy-sup...,Analytics and reporting,All FDH analytics apply the canonical Admin Architecture Standard section 7 privacy-suppression model (min cell 5 / min distinct people 10 / min evaluation runs 20),canViewFdhAnalytics,Analyst (+ Super Admin),None additional,N/A (the suppression logic itself is not an event; suppression decisions must be logged as part of the aggregate RPC's own operation),identifiable (all AR rows above that touch user-derived data) -> must be suppressed per Standard section 7,MISSING,Wave E,"Standard section 7's own certification requirements -- this would be the FIRST live proof-of-concept for the whole Standard, not merely FDH's compliance with an already-proven pattern",Yes,REG-15 -- RESOLVED by binding PO ruling: the first reusable suppression engine belongs to the canonical Admin Analyst/Analytics architecture; FDH Wave E must consume that shared engine and must not build a competing FDH-specific implementation -- see Decision Register
FDH13-AR-012,Analytics,No user-level FDH transaction data is ever exposed to the Analyst role (negative control),Analytics and reporting,No user-level FDH transaction data is ever exposed to the Analyst role (negative control),N/A,"N/A - cross-cutting control, not a standing role grant",Analyst must never receive canApproveFdhMasterData or canAccessFdhSupportData (shared with PR-006),N/A,highly sensitive,IMPLEMENTED,None (already closed),tests/unit/fdh1Isolation.test.ts,No,None
